dealer_name,city,country,latitude,longitude
Urban Auto,Toronto,CA,43.7417,-79.3733
Surely Car Junction,Montreal,CA,45.5089,-73.5617
Get Moving Motors,Vancouver,CA,49.25,-123.1
Metalplex,Calgary,CA,51.05,-114.0667
Squaredeal Motors,Edmonton,CA,53.5344,-113.4903
The Car Masters,Ottawa,CA,45.4247,-75.695
Auto Empire,Mississauga,CA,43.6,-79.65
The Auto Bazaar,Winnipeg,CA,49.8844,-97.1464
Majestic Wheel,Quebec City,CA,46.8139,-71.2081
Up Town Vehicles,Hamilton,CA,43.2567,-79.8692
Razamataz Cars,Brampton,CA,43.6833,-79.7667
Car4Everyone,Surrey,CA,49.19,-122.8489
Buster Douglas Auto Tent,Kitchener,CA,43.4186,-80.4728
Carget,Laval,CA,45.5833,-73.75
Good Gears,Halifax,CA,44.6475,-63.5906
Car King Autos,London,CA,42.9836,-81.2497
Car Aisle,Victoria,CA,48.4283,-123.3647
Elevata Cars,Markham,CA,43.8767,-79.2633
Elite Autos,St. Catharines,CA,43.1833,-79.2333
Motorific,Niagara Falls,CA,43.06,-79.1067
Virgon Cars,Vaughan,CA,43.8333,-79.5
Kingcrown Motors,Gatineau,CA,45.4833,-75.65
Cars4Sale,Windsor,CA,42.2833,-83
Agile Auto,Saskatoon,CA,52.1333,-106.6833
Good Goals Auto,Longueuil,CA,45.5333,-73.5167
Baseprice Auto,Burnaby,CA,49.2667,-122.9667
Foursquare Motors,Regina,CA,50.4547,-104.6067
Motomottoes,Richmond,CA,49.1667,-123.1333
Pro-Wheel,Richmond Hill,CA,43.8667,-79.4333
Shift Wave,Oakville,CA,43.45,-79.6833
Mister Motor,Burlington,CA,43.3167,-79.8
Ohio Car Bargains,Barrie,CA,44.3711,-79.6769
Escott Vehicles,Oshawa,CA,43.9,-78.85
Nexonn,Sherbrooke,CA,45.4,-71.9
Car Shine,Saguenay,CA,48.4167,-71.0667
City Trio Vehicles,Mexico City,MX,19.4181,-99.1311
Car Motto Cars,Ecatepec,MX,19.6008,-99.06
Essy,Guadalajara,MX,20.6675,-103.3422
Wheel Fest,Puebla City,MX,19.0344,-98.1975
Lot Of Autos,Ciudad Ju rez,MX,31.7339,-106.4869
Autostex Vehicles,Tijuana,MX,32.5333,-117.0436
Masterkey Motors,Le¢n,MX,21.1169,-101.6806
Kindauto,Monterrey,MX,25.6669,-100.3086
Carzlync,Zapopan,MX,20.7169,-103.3883
Motormania,Nezahualc¢yotl,MX,19.4,-98.9889
Wheel Spring,Culiac n,MX,24.7842,-107.3981
Prime Motors,Chihuahua City,MX,28.6333,-106.0889
Carnova,Naucalpan,MX,19.4675,-99.2378
Aspire Cars,M‚rida,MX,20.9667,-89.6217
Great Motors Co.,San Luis Potos¡ City,MX,22.1347,-100.975
Motor High,Aguascalientes,MX,21.8681,-102.2961
Happylifeauto,Hermosillo,MX,29.0847,-110.9542
Mayer Vehicles,Saltillo,MX,25.4333,-101
Goodbuy Automart,Mexicali,MX,32.6511,-115.4678
Car Cabanna,Guadalupe,MX,25.6678,-100.235
Excelride,Acapulco,MX,16.8511,-99.8864
Fair&Amp;Square Motors,Tlalnepantla,MX,19.5336,-99.1947
Willowcrest Autos,Canc£n,MX,21.1508,-86.8475
Gotcars,Quer‚taro City,MX,20.5836,-100.3881
Gally Auto,Chimalhuac n,MX,19.4336,-98.9542
Greataceauto,Torre¢n,MX,25.5344,-103.4417
Cassex Vehicles,Morelia,MX,19.7,-101.1856
Silvoman Cars,Reynosa,MX,26.0842,-98.2778
Journey Starters,Tlaquepaque,MX,20.6336,-103.3072
Auto Emporium,Tuxtla Guti‚rrez,MX,16.7503,-93.1156
Autosight Motors,Durango City,MX,24.0172,-104.6544
Frank'S Smart Buys,Toluca,MX,19.2842,-99.6539
Nobrainer Cars,Ciudad L¢pez Mateos,MX,19.5511,-99.2469
Wholesome Motors,Cuautitl n Izcalli,MX,19.6344,-99.2114
Drivingforce Motors,Ciudad Apodaca,MX,25.7681,-100.1889
Brighto,New York City,US,40.6635,-73.9387
Auto Vision Cars,Los Angeles,US,34.0194,-118.4108
Driveits,Chicago,US,41.8376,-87.6818
Autojoy,Houston,US,29.7866,-95.3909
Starlight Automall,Phoenix,US,33.5722,-112.0901
Accurate Auto,Philadelphia,US,40.0094,-75.1333
Savers Auto Shop,San Antonio,US,29.4724,-98.5251
Auto Accord,San Diego,US,32.8153,-117.135
Steals N' Deals,Dallas,US,32.7933,-96.7665
Finecar Gallery,San Jose,US,37.2967,-121.8189
Wheelz Shop,Austin,US,30.3039,-97.7544
Pickaride,Jacksonville,US,30.3369,-81.6616
Bluebird Autos,Fort Worth,US,32.7815,-97.3467
My Kinda Car,Columbus,US,39.9852,-82.9848
Top Wheelz Automotive,Charlotte,US,35.2078,-80.831
1St Town Auto,San Francisco,US,37.7272,-123.0322
Drivehome Autos,Indianapolis,US,39.7767,-86.1459
Smartmart Motors,Seattle,US,47.6205,-122.3509
Trupath Motors,Denver,US,39.7619,-104.8811
Elite East,Washington,US,38.9041,-77.0172
Car Crew Vehicles,Boston,US,42.332,-71.0202
Surething Auto,El Paso,US,31.8484,-106.427
Crezx Vehicles,Nashville,US,36.1718,-86.785
Qualitee Motors,Detroit,US,42.383,-83.1022
Better Wish,Oklahoma City,US,35.4671,-97.5137
A1Motormart,Portland,US,45.537,-122.65
Vivid Car,Las Vegas,US,36.2292,-115.2601
Trizent Autos,Memphis,US,35.1028,-89.9774
Autowizardsales,Louisville,US,38.1654,-85.6474
Hightail Cars,Baltimore,US,39.3,-76.6105
Peachy Rides,Virginia Beach,US,43.0633,-87.9667
Urban Wheel Cars,New Orleans,US,35.1056,-106.6474
Fairyland Auto,Honolulu,US,32.1531,-110.8706
Bestdeal Cars,Lexington,US,36.7836,-119.7934
Be Sure,St. Louis,US,33.4019,-111.7174
Champion Cars,Anchorage,US,38.5666,-121.4686
Next Door Motors,Gilbert,US,33.7629,-84.4227
Wheel Rander,Chesapeake,US,39.1251,-94.551
Steadyeddy Motors,Norfolk,US,38.8673,-104.7607
Blusky Auto'S,Richmond,US,41.2644,-96.0451
Drive 4Ward,Boise,US,35.8306,-78.6418
Frank'S Deals,Baton Rouge,US,25.7752,-80.2086
Autostar Direct,Augusta,US,33.8092,-118.1553
Fabu Car Cars,Columbus,US,36.78,-76.0252
Lucky Day Auto,Newport News,US,37.7698,-122.2257
Brightspot Autos,Cary,US,44.9633,-93.2683
Gasoline Galleria,Alexandria,US,36.1279,-95.9023
A Good Auto,Macon,US,27.9701,-82.4797
Moxie Used Cars,Kansas City,US,32.7007,-97.1247
A Lot O' Auto,Hampton,US,30.0534,-89.9345
New To You Auto,Athens,US,37.6907,-97.3459
Greatway Cars,Lafayette,US,35.3212,-119.0183
Karmacarz,Cleveland,US,41.4785,-81.6794
Perfect Priced Cars,Aurora,US,39.688,-104.6897
Car Oyye,Anaheim,US,33.8555,-117.7601
Keyturn Autos,Honolulu,US,21.3243,-157.8476
Deals4Wheels Auto,Lexington,US,33.7363,-117.883
Mainplace Motors,St. Louis,US,33.9381,-117.3932
Karl Cars,Anchorage,US,27.7543,-97.1734
Car O'Clock,Gilbert,US,38.0407,-84.4583
Daily Deal Cars,Chesapeake,US,36.0097,-115.0357
Zippyauto Mart,Norfolk,US,37.9763,-121.3133
Austinn Vehicles,Richmond,US,44.9489,-93.1041
Nexton Cars,Boise,US,39.1402,-84.5058
Quality 4 Less Autos,Baton Rouge,US,38.6357,-90.2446
Access Auto,Augusta,US,40.4398,-79.9766
Budget Wheelz,Columbus,US,36.0951,-79.827
Masterhulk Auto,Newport News,US,40.8105,-96.6803
Auto Delight,Cary,US,61.1743,-149.2843
Mightyrides,Alexandria,US,33.0508,-96.7479
Just Sure,Macon,US,28.4166,-81.2736
Cross Roads,Kansas City,US,33.6784,-117.7713
Autolegion,Hampton,US,40.7242,-74.1726
Carville Motors,Athens,US,35.9811,-78.9029
Rallyrides,Lafayette,US,32.6277,-117.0152
Feelup Auto,Toledo,US,41.6641,-83.5819
Auto Stacatto,Fort Wayne,US,41.0882,-85.1439
Wheel Deal,St. Petersburg,US,27.762,-82.6441
Car Conveyors,Laredo,US,27.5604,-99.4892
Afford Autos,Jersey City,US,40.7114,-74.0648
Pitstop Auto Gallery,Chandler,US,33.2829,-111.8549
Fanfaire Autos,Madison,US,43.0878,-89.4299
Pinwheel Cars,Lubbock,US,33.5656,-101.8867
Next Crew Cars,Scottsdale,US,33.6843,-111.8611
Trusted Automobiles,Reno,US,39.5491,-119.8499
Old Reliable Motors,Buffalo,US,42.8925,-78.8597
Joe Cars,Gilbert,US,33.3103,-111.7431
Mint Motors,Chesapeake,US,33.5331,-112.1899
Blue Ridge Auto,Norfolk,US,36.2857,-115.0939
Secure Auto,Richmond,US,36.1027,-80.261
Top Quality Motor Cars,Boise,US,36.6794,-76.3018
Billosails Auto,Norfolk,US,36.923,-76.2446
Alpha Auto,Richmond,US,37.4945,-121.9412
Quality Autos,Boise,US,32.9098,-96.6303
Avente,Irving,US,32.8577,-96.97
Cubent Vehicles,Hialeah,US,25.8699,-80.3029
Americas Best Auto,Richmond,US,37.5314,-77.476
Qualitativeauto,Boise,US,43.6002,-116.2317
Auto Pulse,Spokane,US,47.6669,-117.4333
Frank'S Specialty Sales,Baton Rouge,US,30.4422,-91.1309
Sure Space,Tacoma,US,47.2522,-122.4598
